# Autonóm kör-pipeline sora (ADR 0087 §5). Egy sor = egy kör.
# Oszlopok TAB-bal elválasztva:
#   round   brief                                  engine   adr    status
# status: prepared | pending | running | done | halted
# engine: auto | minimax | codex | terra | sonnet-impl
#   auto = MiniMax-first router (2 M3 megoldási kör, szükség esetén 1 Terra)
#   minimax|codex = örökölt, kézi reprodukciós override
#   terra = a nyilvántartás `terra` sora (~/.codex-terra, gpt-5.6-terra)
# A '#'-tel kezdődő sorokat a driver átugorja.
#
# USER-DÖNTÉS 2026-08-25: ELŐSZÖR A TELJES UI (Ch13) KÉSZÜLJÖN EL. A lánc
# kizárólag a Ch13 sávot viszi, amíg az E13-R36 (vizuális regresszió és
# epic-zárás) merge nem lesz. Ezért MINDEN nem-E13 `pending` sor `hold`-ra
# váltott (29 sor: E09-R28/R29/R31/R32 és az E10 sáv nyitott sorai); az E14
# sáv `prepared`, azt a driver eleve nem választja. A driver csak `pending`
# sort admittál (round-pipeline.sh:2462-2464, round-slots.py:309), tehát a
# `hold` a sávok kikapcsolásának sanctionált módja — ugyanaz az érték, amit a
# driver maga is ír (round-pipeline.sh:1467).
#
# MÉRVE, hogy ez a Ch13 láncot NEM lassítja: minden E13 brief előfeltétele
# kizárólag az ELŐZŐ E13 kör (R16←R15, R17←R16, … R36←R01–R35), kereszt-epic
# előfeltétel egyik E13 briefben sincs. Az `unmet_prerequisites` amúgy is
# epicen belül sorosít (round-slots.py:137-141), tehát a 2 slot mellett is
# egyszerre egy E13 kör fut.
#
# VISSZAKAPCSOLÁS az UI elkészülte után: a `hold` -> `pending` csere ezeken a
# sorokon, egyetlen commitban. A holdok NEM járnak le maguktól.
#
# USER-DÖNTÉS 2026-08-21 (a GPT-kvóta elfogyott): a ChatGPT Pro előfizetés
# kerete kimerült, tehát a Codex-oldal (Sol ÉS Terra, `gpt-5.6-*`) NEM
# futtatható. Az érvényes felállás ezért: orchestrátor/reviewer a **Claude
# Sonnet 5 `--effort high`**, implementer a **`minimax`** (MiniMax-M3,
# ~/.claude-minimax, saját API-kulcs) — MINDEN nyitott (pending | prepared |
# hold) sor engine-je `minimax`. A rotációt a commitolt
# docs/execution/orchestrator-rotation fájl hordozza (`claude`; file >
# PIPELINE_ORCH_ROTATION env > script-default), a Codex-oldalt pedig a
# `fallback_engine=none` script-default zárja ki (orchestrator_available).
# Függetlenség: Claude Sonnet 5 (orchestrátor) ≠ MiniMax-M3 (implementer),
# és a `minimax` sor auth_env-je saját kulcs, tehát nem a Claude-keretből
# megy — `engine_uses_claude_quota` fail-closed kulcsán mérve független.
#
# Az ELŐZŐ döntés (2026-08-20, Pro-keret égetése: minden nyitott sor `terra`,
# orchestrátor Sol) ezzel LEZÁRULT; a `terra`/`codex` sorok csak a lezárt
# (`done`) sorokban maradnak, történeti tényként.
# Az ADR 0069 mért motor-szétosztási szabálya (minimax vs codex) továbbra is
# FELFÜGGESZTVE marad, amíg a Codex-oldal nem futtatható: a mezőny egyetlen
# elérhető implementere a `minimax` (tartalék: `sonnet-impl`, de az a
# Claude-keretből megy és a claude-orchestrátorral ütközik → H-INDEP).
# A prepared sorokat a driver nem indítja el; az Epic 2 lezárása és emberi
# jóváhagyás után az első indítható kör státusza kézzel pendingre állítható.
#
# Az E02 sorok motorját nem írjuk át visszamenőleg.
E02-R12	docs/rounds/e02-r12-practice-hub-and-setup.md	minimax	0078	done
E02-R13	docs/rounds/e02-r13-session-ui-shell.md	minimax	0079	done
E02-R14	docs/rounds/e02-r14-strum-and-progression-modes.md	minimax	0080	done
E02-R15	docs/rounds/e02-r15-chord-change-mode.md	minimax	0081	done
E02-R16	docs/rounds/e02-r16-rhythm-only-and-free-practice.md	minimax	0082	done
E02-R17	docs/rounds/e02-r17-speed-builder-and-adaptive-retry.md	minimax	0083	done
E02-R18	docs/rounds/e02-r18-result-coaching-history.md	minimax	0084	done
E02-R19	docs/rounds/e02-r19-progress-and-learn-migration.md	codex	0085	done
# E02-R20 (epic-zárás) — ADR 0087 §7 szerint EMBER indítja; a user 2026-08-01-én
# indította, a §0.0 pre-flight döntésekkel (flag-rollout NEM, új ADR NINCS,
# M3-first router 1 javító körrel → Codex terra). Az ADR-oszlop szándékosan
# 'nincs': a zárókör nem hoz architekturális döntést. A kör az ÖRÖKÖLT
# `minimax` motoron fut (a router ekkor még nem volt merge-elve) — ezt
# visszamenőleg nem írjuk át.
E02-R20	docs/rounds/e02-r20-epic-closure.md	minimax	nincs	done
#
# E02-R21 — a zárójelentés §3 rendszerszintű résének javítása: a Practice V2
# négy hiányzó éles providere. Ez a MiniMax-first router (ADR 0088) ELSŐ ÉLES
# köre — kicsi, jól körülhatárolt scope. Az ADR 0111, mert a 0089-0110 az
# Epic 3 köreire foglalt. A production flag ebben a körben NEM mozdul
# (user-döntés 2026-08-01): a rollout külön kör, a készülékes teszt UTÁN.
# Az Epic 3 sorai szándékosan EZ ALATT vannak — ez fut előbb.
E02-R21	docs/rounds/e02-r21-practice-production-wiring.md	auto	0111	done
#
# Epic 3 — mind a 21 sor (R01-R21) FUT az `auto` routeren (user-döntés
# 2026-08-01). Az R22 epic-zárót az ADR 0087 §7 szerint EMBER indítja.
# folyamatos fejlesztés, a lánc körönként halad, bármely HALT megállítja.
#
# ADR-oszlop JAVÍTVA (mérve 2026-08-01): az eredeti körönkénti 0089..0109
# kiosztás HIBÁS volt. Az R01 briefje (§5.2) NÉGY ADR-t oszt ki a
# pre-flightban (SongDocument V2, file+asset storage, import security
# boundary, Practice Engine integration) -> 0089-0092, ami ütközött az
# R02/R03/R04 előre kiosztott számaival. A többi kör briefjének §4
# engedélyezett-fájllistáján NINCS `docs/adr/` útvonal, tehát ADR-t nem is
# írhatna: azok oszlopa `nincs`. Ha egy későbbi kör pre-flightja mégis
# ADR-t igényel, az orchestrátor 0113-tól oszt, ütközésvizsgálattal (a 0112 az
# önjavító pipeline döntése — ADR 0112).
E03-R01	docs/rounds/e03-r01-baseline-and-boundaries.md	auto	0089-0092	done
E03-R02	docs/rounds/e03-r02-song-document-identity-metadata.md	auto	nincs	done
E03-R03	docs/rounds/e03-r03-song-structure-and-time-map.md	auto	nincs	done
E03-R04	docs/rounds/e03-r04-tracks-events-monophonic-analysis.md	auto	nincs	done
E03-R05	docs/rounds/e03-r05-validator-normalizer-capabilities.md	auto	nincs	done
E03-R06	docs/rounds/e03-r06-legacy-song-setlist-adapters.md	auto	nincs	done
E03-R07	docs/rounds/e03-r07-song-repository-asset-store.md	auto	nincs	done
E03-R08	docs/rounds/e03-r08-persistent-v2-migration.md	auto	nincs	done
E03-R09	docs/rounds/e03-r09-native-json-import-export.md	auto	nincs	done
